,all_data,formattedLocation,country
5685,"East Hampton, CT, United States","East Hampton, CT",United States of America
5686,"North Canaan, CT, United States","North Canaan, CT",United States of America
5687,"North Smithfield, RI, United States","North Smithfield, RI",United States of America
5688,"South Dennis, MA, United States","South Dennis, MA",United States of America
5689,"Shropshire, England, United Kingdom, United Kingdom","Shropshire, England, United Kingdom",United Kingdom
5690,"Aix-en-Provence, Provence-Alpes-CÃ´te d'Azur, France, France","Aix-en-Provence, Provence-Alpes-CÃ´te d'Azur, France",France
5691,"Lusail, Qatar, Qatar","Lusail, Qatar",Qatar
5692,"Malaga, WA, United States","Malaga, WA",United States of America
5693,"Burlington, KS, United States","Burlington, KS",United States of America
5694,"Portsaid Port Police Department, Bur Sa'id, Egypt, Egypt","Portsaid Port Police Department, Bur Sa'id, Egypt",Egypt
5695,"Tuskegee, AL, United States","Tuskegee, AL",United States of America
5696,"Vizianagaram, Andhra Pradesh, India, India","Vizianagaram, Andhra Pradesh, India",India
5697,"Sliema, Malta, Malta","Sliema, Malta",Malta
5698,"Jeffersonville, PA, United States","Jeffersonville, PA",United States of America
5699,"March Air Reserve Base, CA, United States","March Air Reserve Base, CA",United States of America
5700,"Cross Lanes, WV, United States","Cross Lanes, WV",United States of America
5701,"Ottawa, Ontario, Canada, Canada","Ottawa, Ontario, Canada",Canada
5702,"Meycauayan, Central Luzon, Philippines, Philippines","Meycauayan, Central Luzon, Philippines",Philippines
5703,"Stari Grad, Serbia, Serbia","Stari Grad, Serbia",Serbia
5704,"Forest Lake, MN, United States","Forest Lake, MN",United States of America
5705,"Cloquet, MN, United States","Cloquet, MN",United States of America
5706,"Trois-RiviÃ¨res, QC, Canada","Trois-RiviÃ¨res, QC",Canada
5707,"Comox, BC, Canada","Comox, BC",Canada
5708,"Gander, NL, Canada","Gander, NL",Canada
5709,"Daleville, AL, United States","Daleville, AL",United States of America
5710,"Thousand Palms, CA, United States","Thousand Palms, CA",United States of America
5711,"Happy Valley-Goose Bay, NL, Canada","Happy Valley-Goose Bay, NL",Canada
5712,"Dadra & Nagar Haveli, Daman and Diu, India, India","Dadra & Nagar Haveli, Daman and Diu, India",India
5713,"Salmon Arm, BC, Canada","Salmon Arm, BC",Canada
5714,"Powell River, BC, Canada","Powell River, BC",Canada
5715,"Glyn Ceiriog, Wales, United Kingdom, United Kingdom","Glyn Ceiriog, Wales, United Kingdom",United Kingdom
5716,"Sheikh Zayed City, Cairo, Egypt, Egypt","Sheikh Zayed City, Cairo, Egypt",Egypt
5717,"Indaiatuba, SÃ£o Paulo, Brazil, Brazil","Indaiatuba, SÃ£o Paulo, Brazil",Brazil
5718,"Ãvry, Ãle-de-France, France, France","Ãvry, Ãle-de-France, France",France
5719,"Ras Al Khaimah, Ras al-Khaimah, United Arab Emirates, United Arab Emirates","Ras Al Khaimah, Ras al-Khaimah, United Arab Emirates",United Arab Emirates
5720,"Schackendorf, Schleswig-Holstein, Germany, Germany","Schackendorf, Schleswig-Holstein, Germany",Germany
5721,"Bodrum BucaÄÄ±, MuÄla, TÃ¼rkiye, TÃ¼rkiye","Bodrum BucaÄÄ±, MuÄla, TÃ¼rkiye",TÃ¼rkiye
5722,"Sussex, VA, United States","Sussex, VA",United States of America
5723,"Wiltshire, TN, United States","Wiltshire, TN",United States of America
5724,"Dorset, VT, United States","Dorset, VT",United States of America
5725,"Lagos del Coyol, Alajuela, Costa Rica, Costa Rica","Lagos del Coyol, Alajuela, Costa Rica",Costa Rica
5726,"Bandar Banang Jaya, Johore, Malaysia, Malaysia","Bandar Banang Jaya, Johore, Malaysia",Malaysia
5727,"Denison, TX, United States","Denison, TX",United States of America
5728,"Sao Luis, Amazonas, Brazil, Brazil","Sao Luis, Amazonas, Brazil",Brazil
5729,"Cannon AFB, NM, United States","Cannon AFB, NM",United States of America
5730,"Dej, Cluj, Romania, Romania","Dej, Cluj, Romania",Romania
5731,"Brookston, TX, United States","Brookston, TX",United States of America
5732,"Dawan, Tainan City, Taiwan, Taiwan","Dawan, Tainan City, Taiwan",Taiwan
5733,"Helensburgh, Scotland, United Kingdom, United Kingdom","Helensburgh, Scotland, United Kingdom",United Kingdom
5734,"Ocean City, NJ, United States","Ocean City, NJ",United States of America
5735,"Chestnut, IL, United States","Chestnut, IL",United States of America
5736,"CearÃ¡, Brazil, Brazil","CearÃ¡, Brazil",Brazil
5737,"HONG KONG SAR, China, China","HONG KONG SAR, China",China
5738,"Tewkesbury, England, United Kingdom, United Kingdom","Tewkesbury, England, United Kingdom",United Kingdom
5739,"Ledbury, England, United Kingdom, United Kingdom","Ledbury, England, United Kingdom",United Kingdom
5740,"Keysborough, Victoria, Australia, Australia","Keysborough, Victoria, Australia",Australia
5741,"North Point, Hong Kong SAR, China","North Point, Hong Kong SAR",China
5742,"Ansan, Gyeonggi, South Korea, South Korea","Ansan, Gyeonggi, South Korea",South Korea
5743,"Akasaka, Tokyo, Japan, Japan","Akasaka, Tokyo, Japan",Japan
5744,"Manjhanpur, Uttar Pradesh, India, India","Manjhanpur, Uttar Pradesh, India",India
5745,"Kutch district, Gujarat, India, India","Kutch district, Gujarat, India",India
5746,"Wardha, Maharashtra, India, India","Wardha, Maharashtra, India",India
5747,"Viraganur, Tamil Nadu, India, India","Viraganur, Tamil Nadu, India",India
5748,"Agar Panchaitan, Maharashtra, India, India","Agar Panchaitan, Maharashtra, India",India
5749,"Lalgudi, Tamil Nadu, India, India","Lalgudi, Tamil Nadu, India",India
5750,"Sattur, Tamil Nadu, India, India","Sattur, Tamil Nadu, India",India
5751,"Hope, AR, United States","Hope, AR",United States of America
5752,"Chengam, Tamil Nadu, India, India","Chengam, Tamil Nadu, India",India
5753,"Kecamatan Cikarang Timur, West Java, Indonesia, Indonesia","Kecamatan Cikarang Timur, West Java, Indonesia",Indonesia
5754,"Frechen, North Rhine-Westphalia, Germany, Germany","Frechen, North Rhine-Westphalia, Germany",Germany
5755,"Yolo, CA, United States","Yolo, CA",United States of America
5756,"Ballerup, Capital Region of Denmark, Denmark, Denmark","Ballerup, Capital Region of Denmark, Denmark",Denmark
5757,"Waimea, HI, United States","Waimea, HI",United States of America
5758,"Dayton, VA, United States","Dayton, VA",United States of America
5759,"Edgewood, NM, United States","Edgewood, NM",United States of America
5760,"TÃ¡vros, Attiki, Greece, Greece","TÃ¡vros, Attiki, Greece",Greece
5761,"Fremont, MI, United States","Fremont, MI",United States of America
5762,"Nashville, ME, United States","Nashville, ME",United States of America
5763,"Ettelbruck, Diekirch, Luxembourg, Luxembourg","Ettelbruck, Diekirch, Luxembourg",Luxembourg
5764,"West Row, England, United Kingdom, United Kingdom","West Row, England, United Kingdom",United Kingdom
5765,"International Falls, MN, United States","International Falls, MN",United States of America
5766,"Riau Islands, Indonesia, Indonesia","Riau Islands, Indonesia",Indonesia
5767,"Sioux Center, IA, United States","Sioux Center, IA",United States of America
5768,"Cambiago, Lombardy, Italy, Italy","Cambiago, Lombardy, Italy",Italy
5769,"Modi'in Illit, West Bank, West Bank","Modi'in Illit, West Bank",West Bank
5770,"Pipersville, PA, United States","Pipersville, PA",United States of America
5771,"Lonsdale, South Australia, Australia, Australia","Lonsdale, South Australia, Australia",Australia
5772,"BogotÃ¡ D.C. Metropolitan Area, Colombia",BogotÃ¡ D.C. Metropolitan Area,Colombia
5773,"Boyertown, PA, United States","Boyertown, PA",United States of America
5774,"La Chapelle-sur-Erdre, Pays de la Loire, France, France","La Chapelle-sur-Erdre, Pays de la Loire, France",France
5775,"Patuxent River Estates, MD, United States","Patuxent River Estates, MD",United States of America
5776,"Madhavaram, Tamil Nadu, India, India","Madhavaram, Tamil Nadu, India",India
5777,"AbbottÄbÄd, Khyber Pakhtunkhwa, Pakistan, Pakistan","AbbottÄbÄd, Khyber Pakhtunkhwa, Pakistan",Pakistan
5778,"Hautes-PyrÃ©nÃ©es, Occitanie, France, France","Hautes-PyrÃ©nÃ©es, Occitanie, France",France
5779,"Newbury, OH, United States","Newbury, OH",United States of America
5780,"Varennes, QC, Canada","Varennes, QC",Canada
5781,"Montaione, Tuscany, Italy, Italy","Montaione, Tuscany, Italy",Italy
5782,"Kingstowne, VA, United States","Kingstowne, VA",United States of America
5783,"Minneota, MN, United States","Minneota, MN",United States of America
5784,"Sacramento, California, United States, United States","Sacramento, California, United States",United States of America
5785,"Rajendranagar, Telangana, India, India","Rajendranagar, Telangana, India",India
5786,"Shepherdstown, WV, United States","Shepherdstown, WV",United States of America
5787,"Atasehir, Istanbul, TÃ¼rkiye, TÃ¼rkiye","Atasehir, Istanbul, TÃ¼rkiye",TÃ¼rkiye
5788,"Maltepe, Istanbul, TÃ¼rkiye, TÃ¼rkiye","Maltepe, Istanbul, TÃ¼rkiye",TÃ¼rkiye
5789,"Krugersdorp, Gauteng, South Africa, South Africa","Krugersdorp, Gauteng, South Africa",South Africa
5790,"Lloydminster, AB, Canada","Lloydminster, AB",Canada
5791,"Soka, Saitama, Japan, Japan","Soka, Saitama, Japan",Japan
5792,"Patan, Nepal, Nepal","Patan, Nepal",Nepal
5793,"Sukhbaatar, Ulaanbaatar Hot, Mongolia, Mongolia","Sukhbaatar, Ulaanbaatar Hot, Mongolia",Mongolia
5794,"Violet Hill, AR, United States","Violet Hill, AR",United States of America
5795,"Nadi, Western, Fiji, Fiji","Nadi, Western, Fiji",Fiji
5796,"Greater Bendigo, Victoria, Australia, Australia","Greater Bendigo, Victoria, Australia",Australia
5797,"East Kalimantan, Indonesia, Indonesia","East Kalimantan, Indonesia",Indonesia
5798,"Yantai, Shandong, China, China","Yantai, Shandong, China",China
5799,"Czechowice-Dziedzice, ÅlÄskie, Poland, Poland","Czechowice-Dziedzice, ÅlÄskie, Poland",Poland
5800,"Kombo East, West Coast Division, The Gambia, The Gambia","Kombo East, West Coast Division, The Gambia",The Gambia
5801,"Jollyville, TX, United States","Jollyville, TX",United States of America
5802,"Greater Jodhpur Area, India",Greater Jodhpur Area,India
5803,"Uluberia-II, West Bengal, India, India","Uluberia-II, West Bengal, India",India
5804,"Windsor Charter Township, MI, United States","Windsor Charter Township, MI",United States of America
5805,"Tsim Sha Tsui, Hong Kong SAR, China","Tsim Sha Tsui, Hong Kong SAR",China
5806,"Dundas, ON, Canada","Dundas, ON",Canada
5807,"Benelux, Benelux",Benelux,Benelux
5808,"Hawally, Hawalli, Kuwait, Kuwait","Hawally, Hawalli, Kuwait",Kuwait
5809,"Varese, Lombardy, Italy, Italy","Varese, Lombardy, Italy",Italy
5810,"Rheinfelden (Baden), Baden-WÃ¼rttemberg, Germany, Germany","Rheinfelden (Baden), Baden-WÃ¼rttemberg, Germany",Germany
5811,"Geoje, South Gyeongsang, South Korea, South Korea","Geoje, South Gyeongsang, South Korea",South Korea
5812,"Nantou County, Taiwan, Taiwan, Taiwan","Nantou County, Taiwan, Taiwan",Taiwan
5813,"County Kilkenny, Ireland, Ireland","County Kilkenny, Ireland",Ireland
5814,"Rayville, LA, United States","Rayville, LA",United States of America
5815,"West Monroe, LA, United States","West Monroe, LA",United States of America
5816,"Haughton, LA, United States","Haughton, LA",United States of America
5817,"Gromadka, DolnoÅlÄskie, Poland, Poland","Gromadka, DolnoÅlÄskie, Poland",Poland
5818,"Raytown, MO, United States","Raytown, MO",United States of America
5819,"Marion, IA, United States","Marion, IA",United States of America
5820,"Lincoln Park, MI, United States","Lincoln Park, MI",United States of America
5821,"Cutler Bay, FL, United States","Cutler Bay, FL",United States of America
5822,"Bullhead City, AZ, United States","Bullhead City, AZ",United States of America
5823,"St Cloud, FL, United States","St Cloud, FL",United States of America
5824,"East St Louis, IL, United States","East St Louis, IL",United States of America
5825,"Copperas Cove, TX, United States","Copperas Cove, TX",United States of America
5826,"Sayreville, NJ, United States","Sayreville, NJ",United States of America
5827,"Greenville, MS, United States","Greenville, MS",United States of America
5828,"Apple Valley, MN, United States","Apple Valley, MN",United States of America
5829,"LanaudiÃ¨re, QC, Canada","LanaudiÃ¨re, QC",Canada
5830,"Blainville, QC, Canada","Blainville, QC",Canada
5831,"AqtÃ¶be region, Kazakhstan, Kazakhstan","AqtÃ¶be region, Kazakhstan",Kazakhstan
5832,"Bremerhaven, Bremen, Germany, Germany","Bremerhaven, Bremen, Germany",Germany
5833,"Sandoz, CA, United States","Sandoz, CA",United States of America
5834,"Ekangarsarai, Bihar, India, India","Ekangarsarai, Bihar, India",India
5835,"Sisli, Istanbul, TÃ¼rkiye, TÃ¼rkiye","Sisli, Istanbul, TÃ¼rkiye",TÃ¼rkiye
5836,"Awka, Anambra State, Nigeria, Nigeria","Awka, Anambra State, Nigeria",Nigeria
5837,"Fiorenzuola dâArda, Emilia-Romagna, Italy, Italy","Fiorenzuola dâArda, Emilia-Romagna, Italy",Italy
5838,"Los Angeles, TX, United States","Los Angeles, TX",United States of America
5839,"Mafube, Free State, South Africa, South Africa","Mafube, Free State, South Africa",South Africa
5840,"Al Saudia, Riyadh, Saudi Arabia, Saudi Arabia","Al Saudia, Riyadh, Saudi Arabia",Saudi Arabia
5841,"St Michael's On Wyre, England, United Kingdom, United Kingdom","St Michael's On Wyre, England, United Kingdom",United Kingdom
5842,"Welshpool, Western Australia, Australia, Australia","Welshpool, Western Australia, Australia",Australia
5843,"Whitwick, England, United Kingdom, United Kingdom","Whitwick, England, United Kingdom",United Kingdom
5844,"Bellingham, MA, United States","Bellingham, MA",United States of America
5845,"Montrose, CA, United States","Montrose, CA",United States of America
5846,"Orvieto, Umbria, Italy, Italy","Orvieto, Umbria, Italy",Italy
5847,"Bietigheim-Bissingen, Baden-WÃ¼rttemberg",Bietigheim-Bissingen,Baden-WÃ¼rttemberg
5848,"Santo Domingo Ingenio, Oaxaca, Mexico, Mexico","Santo Domingo Ingenio, Oaxaca, Mexico",Mexico
5849,"TaubatÃ©, SÃ£o Paulo, Brazil, Brazil","TaubatÃ©, SÃ£o Paulo, Brazil",Brazil
5850,"SavannakhÃ©t, Laos, Laos","SavannakhÃ©t, Laos",Laos
5851,"TaipeiâKeelung Metropolitan area, Taiwan",TaipeiâKeelung Metropolitan area,Taiwan
5852,"North West, England, United Kingdom, United Kingdom","North West, England, United Kingdom",United Kingdom
5853,"Bharatpur, Nepal, Nepal","Bharatpur, Nepal",Nepal
5854,"Schelle, Flemish Region, Belgium, Belgium","Schelle, Flemish Region, Belgium",Belgium
5855,"Palmer, TX, United States","Palmer, TX",United States of America
5856,"KrakÃ³w Old Town, MaÅopolskie, Poland, Poland","KrakÃ³w Old Town, MaÅopolskie, Poland",Poland
5857,"Dover, OH, United States","Dover, OH",United States of America
5858,"Kilsyth, Scotland, United Kingdom, United Kingdom","Kilsyth, Scotland, United Kingdom",United Kingdom
5859,"Dunbar, Scotland, United Kingdom, United Kingdom","Dunbar, Scotland, United Kingdom",United Kingdom
5860,"Artemida, Attiki, Greece, Greece","Artemida, Attiki, Greece",Greece
5861,"Westfield, NC, United States","Westfield, NC",United States of America
5862,"Binh Thuan, Ho Chi Minh City, Vietnam, Vietnam","Binh Thuan, Ho Chi Minh City, Vietnam",Vietnam
5863,"Boucherville, QC, Canada","Boucherville, QC",Canada
5864,"Powderhorn, CO, United States","Powderhorn, CO",United States of America
5865,"Texas, MD, United States","Texas, MD",United States of America
5866,"Cardiff, Western Australia, Australia, Australia","Cardiff, Western Australia, Australia",Australia
5867,"Launceston, Tasmania, Australia, Australia","Launceston, Tasmania, Australia",Australia
5868,"Germiston, Gauteng, South Africa, South Africa","Germiston, Gauteng, South Africa",South Africa
5869,"Greater Valencia Metropolitan Area, Spain",Greater Valencia Metropolitan Area,Spain
5870,"Greater MÃ¡laga Metropolitan Area, Spain",Greater MÃ¡laga Metropolitan Area,Spain
5871,"Ä¦amrun, Hamrun, Malta, Malta","Ä¦amrun, Hamrun, Malta",Malta
5872,"Rupandehi District, LumbinÄ«, Nepal, Nepal","Rupandehi District, LumbinÄ«, Nepal",Nepal
5873,"Setia Budi, Jakarta, Indonesia, Indonesia","Setia Budi, Jakarta, Indonesia",Indonesia
5874,"Asmara, Maekel Region, Eritrea, Eritrea","Asmara, Maekel Region, Eritrea",Eritrea
5875,"Pathanamthitta, Kerala, India, India","Pathanamthitta, Kerala, India",India
5876,"Kadi, Gujarat, India, India","Kadi, Gujarat, India",India
5877,"Ahmadpur, Maharashtra, India, India","Ahmadpur, Maharashtra, India",India
5878,"Miami County, OH, United States","Miami County, OH",United States of America
5879,"In Salah, Algeria, Algeria","In Salah, Algeria",Algeria
5880,"Cannanore, Kerala, India, India","Cannanore, Kerala, India",India
5881,"Hana, HI, United States","Hana, HI",United States of America
5882,"Fort Wright, KY, United States","Fort Wright, KY",United States of America
5883,"Mannargudi, Tamil Nadu, India, India","Mannargudi, Tamil Nadu, India",India
5884,"Ariyalur, Tamil Nadu, India, India","Ariyalur, Tamil Nadu, India",India
5885,"Mayiladuturai, Tamil Nadu, India, India","Mayiladuturai, Tamil Nadu, India",India
5886,"Pattukkottai, Tamil Nadu, India, India","Pattukkottai, Tamil Nadu, India",India
5887,"Del City, OK, United States","Del City, OK",United States of America
5888,"Imphal, Manipur, India, India","Imphal, Manipur, India",India
5889,"Tonk, Rajasthan, India, India","Tonk, Rajasthan, India",India
5890,"South Amboy, NJ, United States","South Amboy, NJ",United States of America
5891,"Malad, Maharashtra, India, India","Malad, Maharashtra, India",India
5892,"Chatham, NY, United States","Chatham, NY",United States of America
5893,"Aventura, FL, United States","Aventura, FL",United States of America
5894,"Indri, Haryana, India, India","Indri, Haryana, India",India
5895,"Kowloon Bay, Hong Kong SAR, China","Kowloon Bay, Hong Kong SAR",China
5896,"Boalia Thana, Rajshahi, Bangladesh, Bangladesh","Boalia Thana, Rajshahi, Bangladesh",Bangladesh
5897,"Mount Austin, New South Wales, Australia, Australia","Mount Austin, New South Wales, Australia",Australia
5898,"Prue, OK, United States","Prue, OK",United States of America
5899,"Castalian Springs, TN, United States","Castalian Springs, TN",United States of America
5900,"Saulsbury, TN, United States","Saulsbury, TN",United States of America
5901,"Overpeck, OH, United States","Overpeck, OH",United States of America
5902,"Cleves, OH, United States","Cleves, OH",United States of America
5903,"Crawfordsville, AR, United States","Crawfordsville, AR",United States of America
5904,"Suceava, Romania, Romania","Suceava, Romania",Romania
5905,"Bhavnagar, Gujarat, India, India","Bhavnagar, Gujarat, India",India
5906,"Eccleshall, England, United Kingdom, United Kingdom","Eccleshall, England, United Kingdom",United Kingdom
5907,"Brazil, Couva-Tabaquite-Talparo, Trinidad and Tobago, Trinidad and Tobago","Brazil, Couva-Tabaquite-Talparo, Trinidad and Tobago",Trinidad and Tobago
5908,"Franklin, AL, United States","Franklin, AL",United States of America
5909,"Gif-sur-Yvette, Ãle-de-France, France, France","Gif-sur-Yvette, Ãle-de-France, France",France
5910,"Commerce, GA, United States","Commerce, GA",United States of America
5911,"Tampico, Tamaulipas, Mexico, Mexico","Tampico, Tamaulipas, Mexico",Mexico
5912,"Shivpuri, Madhya Pradesh, India, India","Shivpuri, Madhya Pradesh, India",India
5913,"Novosibirsk Metropolitan Area, Russia",Novosibirsk Metropolitan Area,Russia
5914,"Warrensville Heights, OH, United States","Warrensville Heights, OH",United States of America
5915,"Huningue, Grand Est, France, France","Huningue, Grand Est, France",France
5916,"Schaftenau, Tyrol, Austria, Austria","Schaftenau, Tyrol, Austria",Austria
5917,"White Marsh Station, MD, United States","White Marsh Station, MD",United States of America
5918,"Oakdale, MN, United States","Oakdale, MN",United States of America
5919,"East Naples, FL, United States","East Naples, FL",United States of America
5920,"South Dublin, Ireland, Ireland","South Dublin, Ireland",Ireland
5921,"Londonderry, Northern Ireland, United Kingdom, United Kingdom","Londonderry, Northern Ireland, United Kingdom",United Kingdom
5922,"Perth Amboy, NJ, United States","Perth Amboy, NJ",United States of America
5923,"Greater Turin Metropolitan Area, Italy",Greater Turin Metropolitan Area,Italy
5924,"Honiara, Honiara, Solomon Islands, Solomon Islands","Honiara, Honiara, Solomon Islands",Solomon Islands
5925,"Cathcart, Victoria, Australia, Australia","Cathcart, Victoria, Australia",Australia
5926,"Allemagne-en-Provence, Provence-Alpes-CÃ´te d'Azur, France, France","Allemagne-en-Provence, Provence-Alpes-CÃ´te d'Azur, France",France
5927,"Offenbach, Hesse, Germany, Germany","Offenbach, Hesse, Germany",Germany
5928,"Herten, Limburg, Netherlands, Netherlands","Herten, Limburg, Netherlands",Netherlands
5929,"Dunboyne, County Meath, Ireland, Ireland","Dunboyne, County Meath, Ireland",Ireland
5930,"Egersund, Rogaland, Norway, Norway","Egersund, Rogaland, Norway",Norway
5931,"Wayne County, NC, United States","Wayne County, NC",United States of America
5932,"Hummelstown, PA, United States","Hummelstown, PA",United States of America
5933,"Greater Bilbao Metropolitan Area, Spain",Greater Bilbao Metropolitan Area,Spain
5934,"Maple Grove, MI, United States","Maple Grove, MI",United States of America
5935,"LÃ¼beck, Schleswig-Holstein, Germany, Germany","LÃ¼beck, Schleswig-Holstein, Germany",Germany
5936,"Daman and Diu, India, India","Daman and Diu, India",India
5937,"Arunachal Pradesh, India, India","Arunachal Pradesh, India",India
5938,"Douglas, GA, United States","Douglas, GA",United States of America
5939,"Happy ValleyâGoose Bay, NL, Canada","Happy ValleyâGoose Bay, NL",Canada
5940,"Afar Region, Ethiopia, Ethiopia","Afar Region, Ethiopia",Ethiopia
5941,"Villarcayo, Castilla and Leon, Spain, Spain","Villarcayo, Castilla and Leon, Spain",Spain
5942,"Holmes Chapel, England, United Kingdom, United Kingdom","Holmes Chapel, England, United Kingdom",United Kingdom
5943,"Greater CastellÃ³n de la Plana Area, Spain",Greater CastellÃ³n de la Plana Area,Spain
5944,"Greater Padova (Padua) Metropolitan Area, Italy",Greater Padova (Padua) Metropolitan Area,Italy
5945,"Mirepoix, Occitanie, France, France","Mirepoix, Occitanie, France",France
5946,"Saint-Lizier, Occitanie, France, France","Saint-Lizier, Occitanie, France",France
5947,"Espalion, Occitanie, France, France","Espalion, Occitanie, France",France
5948,"Claregalway, County Galway, Ireland, Ireland","Claregalway, County Galway, Ireland",Ireland
5949,"Decazeville, Occitanie, France, France","Decazeville, Occitanie, France",France
5950,"Bitola, Pelagonia, North Macedonia, North Macedonia","Bitola, Pelagonia, North Macedonia",North Macedonia
5951,"Aargau, Switzerland, Switzerland","Aargau, Switzerland",Switzerland
5952,"Waldkirch, Baden-WÃ¼rttemberg, Germany, Germany","Waldkirch, Baden-WÃ¼rttemberg, Germany",Germany
5953,"Wotton-Under-Edge, England, United Kingdom, United Kingdom","Wotton-Under-Edge, England, United Kingdom",United Kingdom
5954,"Fiumicino, Latium, Italy, Italy","Fiumicino, Latium, Italy",Italy
5955,"Iskandar Puteri, Johore, Malaysia, Malaysia","Iskandar Puteri, Johore, Malaysia",Malaysia
5956,"Marlboro, MA, United States","Marlboro, MA",United States of America
5957,"Lancing, TN, United States","Lancing, TN",United States of America
5958,"Masonboro, NC, United States","Masonboro, NC",United States of America
5959,"Virginia Beach, Virginia, United States, United States","Virginia Beach, Virginia, United States",United States of America
5960,"Aurora, WV, United States","Aurora, WV",United States of America
5961,"Schwechat, Lower Austria, Austria, Austria","Schwechat, Lower Austria, Austria",Austria
5962,"Sub-Saharan Africa, Africa",Sub-Saharan Africa,Africa
5963,"Byford, Western Australia, Australia, Australia","Byford, Western Australia, Australia",Australia
5964,"Allan, SK, Canada","Allan, SK",Canada
5965,"La Garenne-Colombes, Ãle-de-France, France, France","La Garenne-Colombes, Ãle-de-France, France",France
5966,"Gurabo, Gurabo Municipio, Puerto Rico, Puerto Rico","Gurabo, Gurabo Municipio, Puerto Rico",Puerto Rico
5967,"Tipperary, MO, United States","Tipperary, MO",United States of America
5968,"Pulandian, Liaoning, China, China","Pulandian, Liaoning, China",China
5969,"Smiths Falls, ON, Canada","Smiths Falls, ON",Canada
5970,"MladÃ¡ Boleslav, Central Bohemia, Czechia, Czechia","MladÃ¡ Boleslav, Central Bohemia, Czechia",Czechia
5971,"Taastrup, Capital Region of Denmark, Denmark, Denmark","Taastrup, Capital Region of Denmark, Denmark",Denmark
5972,"Grado, Friuli-Venezia Giulia, Italy, Italy","Grado, Friuli-Venezia Giulia, Italy",Italy
5973,"Des Peres, MO, United States","Des Peres, MO",United States of America
5974,"Greater Uppsala Metropolitan Area, Sweden",Greater Uppsala Metropolitan Area,Sweden
5975,"Leamington Hastings, England, United Kingdom, United Kingdom","Leamington Hastings, England, United Kingdom",United Kingdom
5976,"Starbuck, MN, United States","Starbuck, MN",United States of America
5977,"Chiswick, England, United Kingdom, United Kingdom","Chiswick, England, United Kingdom",United Kingdom
5978,"Kothaguda, Telangana, India, India","Kothaguda, Telangana, India",India
5979,"West Trenton, NJ, United States","West Trenton, NJ",United States of America
5980,"Kannur, Kerala, India, India","Kannur, Kerala, India",India
5981,"Notting Hill, Victoria, Australia, Australia","Notting Hill, Victoria, Australia",Australia
5982,"Nochchiyagama, North Central Province, Sri Lanka, Sri Lanka","Nochchiyagama, North Central Province, Sri Lanka",Sri Lanka
5983,"Kondapur, Telangana, India, India","Kondapur, Telangana, India",India
5984,"Greater JÃ¶nkÃ¶ping Metropolitan Area, Sweden",Greater JÃ¶nkÃ¶ping Metropolitan Area,Sweden
5985,"Middle Wallop, England, United Kingdom, United Kingdom","Middle Wallop, England, United Kingdom",United Kingdom
5986,"Nha Trang, Vietnam, Vietnam","Nha Trang, Vietnam",Vietnam
5987,"Blackwood, Wales, United Kingdom, United Kingdom","Blackwood, Wales, United Kingdom",United Kingdom
5988,"Malvern, AR, United States","Malvern, AR",United States of America
5989,"Rach GiÃ¡, Vietnam, Vietnam","Rach GiÃ¡, Vietnam",Vietnam
5990,"Heinsberg, North Rhine-Westphalia, Germany, Germany","Heinsberg, North Rhine-Westphalia, Germany",Germany
5991,"Gladstone, VA, United States","Gladstone, VA",United States of America
5992,"Milliken, CO, United States","Milliken, CO",United States of America
5993,"Beverly, AB, Canada","Beverly, AB",Canada
5994,"Lipa, Calabarzon, Philippines, Philippines","Lipa, Calabarzon, Philippines",Philippines
5995,"Chapleau, ON, Canada","Chapleau, ON",Canada
5996,"La Marsa, Tunis, Tunisia, Tunisia","La Marsa, Tunis, Tunisia",Tunisia
5997,"KemalpaÅa, Ä°zmir, TÃ¼rkiye, TÃ¼rkiye","KemalpaÅa, Ä°zmir, TÃ¼rkiye",TÃ¼rkiye
5998,"Mladost, Sofia City, Bulgaria, Bulgaria","Mladost, Sofia City, Bulgaria",Bulgaria
5999,"Sindelfingen, Baden-WÃ¼rttemberg, Germany, Germany","Sindelfingen, Baden-WÃ¼rttemberg, Germany",Germany
6000,"Mangum, NC, United States","Mangum, NC",United States of America
6001,"Fernie, BC, Canada","Fernie, BC",Canada
6002,"Qesm El Moqatam, Cairo, Egypt, Egypt","Qesm El Moqatam, Cairo, Egypt",Egypt
6003,"Aalen, Baden-WÃ¼rttemberg, Germany, Germany","Aalen, Baden-WÃ¼rttemberg, Germany",Germany
6004,"Murnau am Staffelsee, Bavaria, Germany, Germany","Murnau am Staffelsee, Bavaria, Germany",Germany
6005,"Kolbermoor, Bavaria, Germany, Germany","Kolbermoor, Bavaria, Germany",Germany
6006,"Gennevilliers, Ãle-de-France, France, France","Gennevilliers, Ãle-de-France, France",France
6007,"Giarmata, TimiÈ, Romania, Romania","Giarmata, TimiÈ, Romania",Romania
6008,"Alwar, Rajasthan, India, India","Alwar, Rajasthan, India",India
6009,"Hapur, Uttar Pradesh, India, India","Hapur, Uttar Pradesh, India",India
6010,"Lousado, Braga, Portugal, Portugal","Lousado, Braga, Portugal",Portugal
6011,"Fort Bend County, TX, United States","Fort Bend County, TX",United States of America
6012,"Eagleville, PA, United States","Eagleville, PA",United States of America
6013,"LeÃ³n, Castilla and Leon, Spain, Spain","LeÃ³n, Castilla and Leon, Spain",Spain
