all_data,formattedLocation,country
"Ely, NV, US, US","Ely, NV",United States of America
"Denison, IA, US, US","Denison, IA, US",United States of America
"Patiala, IN, IN","PatiÃ„Âla, IN",India
"Pearl City, HI, US, US","Pearl City, HI, US",United States of America
"Wiesbaden, DE, DE","Wiesbaden, DE",Germany
"Holly, MI, US, US","Holly, MI",United States of America
"Red Oak, TX, US, US","Red Oak, TX, US",United States of America
"Avenel, NJ, US, US","Avenel, NJ, US",United States of America
"Stow, OH, US, US","Stow, OH, US",United States of America
"Coconut Grove, FL, US, US","Coconut Grove, FL, US",United States of America
"River Rouge, MI, US, US","River Rouge, MI, US",United States of America
"Muzaffarpur, IN, IN","Muzaffarpur, IN",India
"Groveport, OH, US, US","Groveport, OH, US",United States of America
"Croydon, AU, AU","Croydon, AU",Australia
"Blooming Grove, NY, US, US","Blooming Grove, NY, US",United States of America
"Cayey, PR, PR","Cayey, PR",Portugal
"UK - SIT0142 BELFAST, Belfast, Northern Ireland, United Kingdom","UK - SIT0142 BELFAST, Belfast, Northern Ireland",United Kingdom
"Nyírbátor, HU, HU","NyÃƒÂ­rbÃƒÂ¡tor, HU",Hungary
"Yangmei, TW, TW","Yangmei, TW",Taiwan
"Crown Point, IN, US, US","Crown Point, IN, US",United States of America
"Sulzbach, DE, DE","Sulzbach, DE",Germany
"Kandahār, AF, AF","KandahÃ„Âr, AF",Afghanistan
"Travelers Rest, SC, US, US","Travelers Rest, SC",United States of America
"Township of East Windsor, NJ, US, US","Township of East Windsor, NJ, US",United States of America
"Eggborough, England, United Kingdom, United Kingdom","Eggborough, England, United Kingdom",United Kingdom
"Indio, CA, US, US","Indio, CA, US",United States of America
"Sohawal, Uttar Pradesh, India, India","Sohawal, Uttar Pradesh, India",India
"New York (4WTC) - 150 Greenwich St New York, New York 10007 United States NY, US","New York (4WTC)  - 150 Greenwich St  New York, New York 10007 United States NY, ",United States of America
"Yorkshire, NY, US","Yorkshire, NY",United States of America
"Pottery Pier, GB, GB","Pottery Pier, GB",United Kingdom
"Cramlington, GB, GB","Cramlington, GB",United Kingdom
"Kullu, IN, IN","Kullu, IN",India
"Ānand, IN, IN","Ã„Â€nand, IN",India
"Hoshiārpur, IN, IN","HoshiÃ„Ârpur, IN",India
"Kurukshetra, IN, IN","Kurukshetra, IN",India
"Pathankot, IN, IN","Pathankot, IN",India
"Hosūr, IN, IN","HosÃ…Â«r, IN",India
"Bokāro, IN, IN","BokÃ„Âro, IN",India
"Roorkee, IN, IN","Roorkee, IN",India
"Kraaifontein, ZA, ZA","Kraaifontein, ZA",South Africa
"Butte, MT, US, US","Butte, MT, US",United States of America
"Deming, NM, US, US","Deming, NM, US",United States of America
"Tucumcari, NM, US, US","Tucumcari, NM, US",United States of America
"Alamogordo, NM, US, US","Alamogordo, NM, US",United States of America
"Belen, NM, US, US","Belen, NM, US",United States of America
"Hurley, NM, US, US","Hurley, NM, US",United States of America
"Reserve, NM, US, US","Reserve, NM, US",United States of America
"Silver City, NM, US, US","Silver City, NM, US",United States of America
"Qurm, Masqaţ, Oman, Oman","Qurm, MasqaÃ…Â£, Oman",Oman
"Okanagan, CA, CA","Okanagan, CA",United States of America
"Port Chester, NY, US, US","Port Chester, NY, US",United States of America
"Kensington, MD, US, US","Kensington, MD, US",United States of America
"Skillman, NJ, US, US","Skillman, NJ, US",United States of America
"Aldinga, AU, AU","Aldinga, AU",Australia
"Mawson Lakes, AU, AU","Mawson Lakes, AU",Australia
"Lidcombe, AU, AU","Lidcombe, AU",Australia
"Pymble, AU, AU","Pymble, AU",Australia
"South Milwaukee, WI, US, US","South Milwaukee, WI, US",United States of America
"Mỹ Tho, VN, VN","MÃ¡Â»Â¹ Tho, VN",South Africa
"Bellefontaine, OH, US, US","Bellefontaine, OH, US",United States of America
"Ciudad Juárez, Chihuahua, Mexico, Mexico","Ciudad JuÃƒÂ¡rez, Chihuahua, Mexico",Mexico
"Ecatepec de Morelos, México, Mexico, Mexico","Ecatepec de Morelos, MÃƒÂ©xico, Mexico",Mexico
"Carpinteria, CA, US, US","Carpinteria, CA, US",United States of America
"Penza, RU, RU","Penza, RU",Russia
"Benicia, CA, US, US","Benicia, CA, US",United States of America
"Muttenz, CH, CH","Muttenz, CH",Switzerland
"Lihue, HI, US, US","Lihue, HI, US",United States of America
"Okehampton, GB, GB","Okehampton, GB",United Kingdom
"Lansdowne, PA, US, US","Lansdowne, PA, US",United States of America
"Oak Lawn, IL, US, US","Oak Lawn, IL, US",United States of America
"Bahrāin, IN, IN","BahrÃ„Âin, IN",India
"Chipping Norton, GB, GB","Chipping Norton, GB",United Kingdom
"Bexleyheath, GB, GB","Bexleyheath, GB",United Kingdom
"Uxbridge, AU, AU","Uxbridge, AU",Australia
"Saint Neots, GB, GB","Saint Neots, GB",United Kingdom
"Bharūch, IN, IN","BharÃ…Â«ch, IN",India
"Amsterdam Airport Schiphol, NL, NL","Amsterdam Airport Schiphol, NL",Netherlands
"State of Israel, IL, IL","State of Israel, IL",Israel
"Apple Valley, MN, US, US","Apple Valley, MN, US",United States of America
"Biberach an der Riß, DE, DE","Biberach an der RiÃƒÂŸ, DE",Germany
"Dugway, UT, US, US","Dugway, UT, US",United States of America
"Mount Airy, MD, US, US","Mount Airy, MD, US",United States of America
"Mount Vernon, VA, US, US","Mount Vernon, VA, US",United States of America
"Reading, South East, United Kingdom, United Kingdom","Reading, South East, United Kingdom",United Kingdom
"Fremont, OH, US, US","Fremont, OH, US",United States of America
"West Chicago, IL, US, US","West Chicago, IL, US",United States of America
"Thalwil, CH, CH","Thalwil, CH",Switzerland
"Cornelius, NC, US, US","Cornelius, NC, US",United States of America
"Buchs, CH, CH","Buchs, CH",Switzerland
"Holland, OH, US","Holland, OH",United States of America
"Beauvezer, Provence-Alpes-Côte d'Azur, France, France","Beauvezer, Provence-Alpes-CÃƒÂ´te d'Azur, France",France
"Mogliano Veneto, Veneto, Italy, Italy","Mogliano Veneto, Veneto, Italy",Italy
"Fiume Veneto, Friuli-Venezia Giulia, Italy, Italy","Fiume Veneto, Friuli-Venezia Giulia, Italy",Italy
"Waddeweitz, Lower Saxony, Germany, Germany","Waddeweitz, Lower Saxony, Germany",Germany
"Rawdon, England, United Kingdom, United Kingdom","Rawdon, England, United Kingdom",United Kingdom
"Stamford, NY, US","Stamford, NY",United States of America
"Riverdale, GA, US","Riverdale, GA",United States of America
"Nedlands, Western Australia, Australia, Australia","Nedlands, Western Australia, Australia",Australia
"Melksham, England, United Kingdom, United Kingdom","Melksham, England, United Kingdom",United Kingdom
"St Columb Major, England, United Kingdom, United Kingdom","St Columb Major, England, United Kingdom",United Kingdom
"Shingle Springs, CA, US","Shingle Springs, CA",United States of America
"Stansted Mountfitchet, England, United Kingdom, United Kingdom","Stansted Mountfitchet, England, United Kingdom",United Kingdom
"Elgin, SC, US","Elgin, SC",United States of America
"White City, OR, US","White City, OR",United States of America
"Arang, Chhattisgarh, India, India","Arang, Chhattisgarh, India",India
"Porvoo, Uusimaa, Finland, Finland","Porvoo, Uusimaa, Finland",Finland
"Coatesville, PA, US","Coatesville, PA",United States of America
"Chourai, Madhya Pradesh, India, India","Chourai, Madhya Pradesh, India",India
"Bühlerzell, Baden-Württemberg, Germany, Germany","BÃƒÂ¼hlerzell, Baden-WÃƒÂ¼rttemberg, Germany",Germany
"Hämeenkyrö, Pirkanmaa, Finland, Finland","HÃƒÂ¤meenkyrÃƒÂ¶, Pirkanmaa, Finland",Finland
"Sarver, PA, US","Sarver, PA",United States of America
"Keystone Heights, FL, US","Keystone Heights, FL",United States of America
"Freren, Lower Saxony, Germany, Germany","Freren, Lower Saxony, Germany",Germany
"Mount Vernon, OH, US, US","Mount Vernon, OH, US",United States of America
"University Park, IL, US, US","University Park, IL, US",United States of America
"Stavanger, NO, NO","Stavanger, NO",Norway
"Forsyth, IL, US, US","Forsyth, IL, US",United States of America
"Menifee, CA, US, US","Menifee, CA, US",United States of America
"Ternopil’, UA, UA","TernopilÃ¢Â€Â™, UA",Ukraine
"Jonesborough, TN, US, US","Jonesborough, TN, US",United States of America
"Covina, CA, US, US","Covina, CA, US",United States of America
"Wareham Center, MA, US, US","Wareham Center, MA, US",United States of America
"Detroit-Warren-Livonia, MI, US, US","Detroit-Warren-Livonia, MI, US",United States of America
"Deale, MD, US, US","Deale, MD, US",United States of America
"United States, TN, US, US","United States, TN, US",United States of America
"Saint Helier, JE, JE","Saint Helier, JE",Jersey
"North Cornelly, GB, GB","North Cornelly, GB",United Kingdom
"Antioch, TN, US, US","Antioch, TN, US",United States of America
"Morningside, ZA, ZA","Morningside, ZA",South Africa
"Székesfehérvár, HU, HU","SzÃƒÂ©kesfehÃƒÂ©rvÃƒÂ¡r, HU",Hungary
"Airway Heights, WA, US, US","Airway Heights, WA, US",United States of America
"Woodbury, NY, US, US","Woodbury, NY, US",United States of America
"Baltimore County, MD, US, US","Baltimore County, MD, US",United States of America
"Davidson, NC, US, US","Davidson, NC, US",United States of America
"Portugal, 7300-400, PT, PT","Portugal, 7300-400, PT",Portugal
"Tarzana, CA, US, US","Tarzana, CA, US",United States of America
"Broken Arrow, OK, US, US","Broken Arrow, OK, US",United States of America
"Dallas, OR, US, US","Dallas, OR, US",United States of America
"Reykjavík, IS, IS","ReykjavÃƒÂ­k, IS",Iceland
"Córdoba, AR, AR","CÃƒÂ³rdoba, AR",Argentina
"Challis, ID, US","Challis, ID",United States of America
"Espanola, NM, US","Espanola, NM",United States of America
"Gorzów Wielkopolski, PL, PL","GorzÃƒÂ³w Wielkopolski, PL",Poland
"Ankeny, IA, US, US","Ankeny, IA, US",United States of America
"Española, NM, US, US","EspaÃƒÂ±ola, NM, US",United States of America
"Whitley Bay, GB, GB","Whitley Bay, GB",United Kingdom
"Wallsend, GB, GB","Wallsend, GB",United Kingdom
"Township of Brick, NJ, US, US","Township of Brick, NJ, US",United States of America
"Barrow upon Humber, GB, GB","Barrow upon Humber, GB",United Kingdom
"Iztapalapa, MX, MX","Iztapalapa, MX",Mexico
"Košice, SK, SK","KoÃ…Â¡ice, SK",Slovakia
"Bartow, FL, US, US","Bartow, FL, US",United States of America
"Chicago Loop, IL, US, US","Chicago Loop, IL, US",United States of America
"Liversedge, GB, GB","Liversedge, GB",United Kingdom
"Kraków, 31072, PL, PL","KrakÃƒÂ³w, 31072, PL",Poland
"Kolkata, 700034, IN, IN","Kolkata, 700034, IN",India
"Worland, WY, US, US","Worland, WY, US",United States of America
"Bastrop, TX, US, US","Bastrop, TX, US",United States of America
"Brookfield, CT, US, US","Brookfield, CT, US",United States of America
"Cleveland County, OK, US, US","Cleveland County, OK, US",United States of America
"Hillsborough, NC, US, US","Hillsborough, NC, US",United States of America
"Cantonment, FL, US","Cantonment, FL",United States of America
"Edgewater, MD, US, US","Edgewater, MD, US",United States of America
"Geneva, AL, US, US","Geneva, AL, US",United States of America
"Fairfield West, New South Wales, Australia, Australia","Fairfield West, New South Wales, Australia",Australia
"Humlebæk, Capital Region of Denmark, Denmark, Denmark","HumlebÃƒÂ¦k, Capital Region of Denmark, Denmark",Denmark
"Amherst, NH, US, US","Amherst, NH, US",United States of America
"Newmarket, NH, US, US","Newmarket, NH, US",United States of America
"Warrenton, VA, US, US","Warrenton, VA, US",United States of America
"Rayne, LA, US, US","Rayne, LA, US",United States of America
"Chino, CA, US, US","Chino, CA, US",United States of America
"Colombes, FR, FR","Colombes, FR",France
"Uzhhorod, UA, UA","Uzhhorod, UA",Ukraine
"Cinisello Balsamo, IT, IT","Cinisello Balsamo, IT",Italy
"Blachly, OR, US, US","Blachly, OR, US",United States of America
"Waite Park, MN, US, US","Waite Park, MN, US",United States of America
"Mosta, MT, MT","Mosta, MT",Malta
"Winterthur, CH, CH","Winterthur, CH",Switzerland
"Whitehorse, CA, CA","Whitehorse, CA",United States of America
"Bodensee, DE, DE","Bodensee, DE",Germany
"Manchester, CT, US, US","Manchester, CT, US",United States of America
"Bingham Farms, MI, US, US","Bingham Farms, MI, US",United States of America
"West Coast, NZ, NZ","West Coast, NZ",New Zealand
"Guadalupe, MX, MX","Guadalupe, MX",Mexico
"Manchester, MI, US, US","Manchester, MI, US",United States of America
"Frascati, IT, IT","Frascati, IT",Italy
"South Glamorgan, GB, GB","South Glamorgan, GB",United Kingdom
"Modena, IT, IT","Modena, IT",Italy
"Morrisville, PA, US, US","Morrisville, PA, US",United States of America
"Hiawatha, IA, US, US","Hiawatha, IA, US",United States of America
"Middletown, NJ, US, US","Middletown, NJ, US",United States of America
"Lawrence, KS, US, US","Lawrence, KS, US",United States of America
"Township of Mission, KS, US, US","Township of Mission, KS, US",United States of America
"Whiteley, GB, GB","Whiteley, GB",United Kingdom
"Redcar, GB, GB","Redcar, GB",United Kingdom
"Florida, FL, US, US","Florida, FL, US",United States of America
"Adrian, MI, US, US","Adrian, MI, US",United States of America
"Henrico County, VA, US, US","Henrico County, VA, US",United States of America
"Government Canyon State Natural Area, TX, US, US","Government Canyon State Natural Area, TX, US",United States of America
"Trenton, MI, US, US","Trenton, MI, US",United States of America
"Paulo, BR, BR","Paulo, BR",Brazil
"Järvenpää, FI, FI","JÃƒÂ¤rvenpÃƒÂ¤ÃƒÂ¤, FI",Finland
"Blue Springs, MO, US, US","Blue Springs, MO, US",United States of America
"Prineville, OR, US, US","Prineville, OR, US",United States of America
"Sudbury, MA, US, US","Sudbury, MA, US",United States of America
"Woodinville, WA, US, US","Woodinville, WA, US",United States of America
"Ft. Wayne Travelodge, IN, US, US","Ft. Wayne Travelodge, IN, US",United States of America
"Colombia, CO, CO","Colombia, CO",Colombia
"Osun, NG, NG","Osun, NG",Nigeria
"Woodstock, ZA, ZA","Woodstock, ZA",South Africa
"Meyer Riverside Airpark, OR, US, US","Meyer Riverside Airpark, OR, US",United States of America
"Hamilton, VA, US, US","Hamilton, VA, US",United States of America
"Chamblee, GA, US, US","Chamblee, GA, US",United States of America
"Essendon, AU, AU","Essendon, AU",Australia
"Bedford, NH, US, US","Bedford, NH, US",United States of America
"Santa Clara, California, United States, United States","Santa Clara,California,United States",United States
"Stratham, NH, US, US","Stratham, NH, US",United States of America
"Bedford, CA, CA","Bedford, CA",United States of America
"Petah Tiqwa, IL, IL","PetaÃ¡ÂºÂ– Tiqwa, IL",Israel
"Little Silver, NJ, US, US","Little Silver, NJ, US",United States of America
"Bonn, ZA, ZA","Bonn, ZA",South Africa
"Neuburg an der Donau, DE, DE","Neuburg an der Donau, DE",Germany
"Franklin, NH, US, US","Franklin, NH, US",United States of America
"Genk, BE, BE","Genk, BE",Belgium
"Curitiba, BR, BR","Curitiba, BR",Brazil
"Saint Joseph, MI, US, US","Saint Joseph, MI, US",United States of America
"Hume, CA, US, US","Hume, CA, US",United States of America
"Evansville, IL, US, US","Evansville, IL, US",United States of America
"Broomfield County, CO, US, US","Broomfield County, CO, US",United States of America
"Forest Park, GA, US, US","Forest Park, GA, US",United States of America
"Orangeburg, NY, US, US","Orangeburg, NY, US",United States of America
"Spring Valley, NY, US, US","Spring Valley, NY, US",United States of America
"Fox River Grove, IL, US, US","Fox River Grove, IL, US",United States of America
"Wayside, TX, US, US","Wayside, TX, US",United States of America
"Springfield, TN, US, US","Springfield, TN, US",United States of America
"Kuala Lumpur, 50786, MY, MY","Kuala Lumpur, 50786, MY",Malaysia
"Wrocław, 50901, PL, PL","WrocÃ…Â‚aw, 50901, PL",Poland
"Jandakot, AU, AU","Jandakot, AU",Australia
"Fallbrook, CA, US, US","Fallbrook, CA",United States of America
"Germany, IN, US, US","Germany, IN, US",United States of America
"Celle, 29221, DE, DE","Celle, 29221, DE",Germany
"Bromma, 16184, SE, SE","Bromma, 16184, SE",Sweden
"Ávila, 05070, ES, ES","ÃƒÂvila, 05070, ES",Spain
"Lisbon, 1600-587, PT, PT","Lisbon, 1600-587, PT",Portugal
"Porto, 4350-149, PT, PT","Porto, 4350-149, PT",Portugal
"Ingolstadt, 85049, DE, DE","Ingolstadt, 85049, DE",Germany
"Brighton, BN88, GB, GB","Brighton, BN88, GB",United Kingdom
"Kfar Saba, 99999, IL, IL","Kfar Saba, 99999, IL",Israel
"Munich, 80331, DE, DE","Munich, 80331, DE",Germany
"Hortolândia, 13183-000, BR, BR","HortolÃƒÂ¢ndia, 13183-000, BR",Brazil
"Valigonda, Telangana, India, India","Valigonda, Telangana, India",India
"Barueri, 06401, BR, BR","Barueri, 06401, BR",Brazil
"Rio de Janeiro, 24000-000, BR, BR","Rio de Janeiro, 24000-000, BR",Brazil
"Toronto, C0A1X0, CA, CA","Toronto, C0A1X0, CA",United States of America
"London, NW6 6RJ, GB, GB","London, NW6 6RJ, GB",United Kingdom
"Bonn, North Rhine-Westphalia, DE, DE","Bonn, North Rhine-Westphalia, DE",Germany
"Vadodara, 390020, IN, IN","Vadodara, 390020, IN",India
"Montréal, 10, CA, CA","MontrÃƒÂ©al, 10, CA",United States of America
"Kingsley, IA, US, US","Kingsley, IA, US",United States of America
"Brno, 614 00, CZ, CZ","Brno, 614 00, CZ",Czech Republic
"Fort Shafter Golf Course, HI, US, US","Fort Shafter Golf Course, HI, US",United States of America
"Canberra, Australian Capital Territory, AU, AU","Canberra, Australian Capital Territory, AU",Australia
"Newcastle, NE, US, US","Newcastle, NE, US",United States of America
"Altoona, IA, US, US","Altoona, IA, US",United States of America
"Kinston, NC, US, US","Kinston, NC, US",United States of America
"Isando, ZA, ZA","Isando, ZA",South Africa
"Green Point, ZA, ZA","Green Point, ZA",South Africa
"Gardens, ZA, ZA","Gardens, ZA",South Africa
"Mount Edgecombe, ZA, ZA","Mount Edgecombe, ZA",South Africa
"Kankakee, IL, US, US","Kankakee, IL, US",United States of America
"Karnāl, IN, IN","KarnÃ„Âl, IN",India
"Antioch, IL, US, US","Antioch, IL, US",United States of America
"Euless, TX, US, US","Euless, TX, US",United States of America
"Pueblo West, CO, US, US","Pueblo West, CO, US",United States of America
"Sirsa, IN, IN","Sirsa, IN",India
"Barddhamān, IN, IN","BarddhamÃ„Ân, IN",India
"Haldwani, IN, IN","Haldwani, IN",India
"Sonīpat, IN, IN","SonÃ„Â«pat, IN",India
"Tripoli, LY, LY","Tripoli, LY",Libya
"Dhaka, BD, BD","Dhaka, BD",Bangladesh
"Berkeley County, SC, US, US","Berkeley County, SC, US",United States of America
"Blythebridge, GB, GB","Blythebridge, GB",United Kingdom
"Annecy, Auvergne-Rhône-Alpes, France, France","Annecy, Auvergne-RhÃƒÂ´ne-Alpes, France",France
"Castlegar, CA, CA","Castlegar, CA",United States of America
"Cuyahoga Falls, OH, US, US","Cuyahoga Falls, OH, US",United States of America
"International Falls, MN, US, US","International Falls, MN, US",United States of America
"Sederot, IL, IL","Sederot, IL",Israel
"Ogallala, NE, US","Ogallala, NE",United States of America
"Ede, NL, NL","Ede, NL",Netherlands
"Parktown, ZA, ZA","Parktown, ZA",South Africa
"Tavernerio, Lombardy, Italy, Italy","Tavernerio, Lombardy, Italy",Italy
"Māna, IN, IN","MÃ„Âna, IN",India
"New Philadelphia, OH, US, US","New Philadelphia, OH, US",United States of America
"Vincennes, IN, US, US","Vincennes, IN, US",United States of America
"Broomall, PA, US, US","Broomall, PA, US",United States of America
"Bluefield, WV, US, US","Bluefield, WV, US",United States of America
"Emmendingen, DE, DE","Emmendingen, DE",Germany
"Tallinn, EE, EE","Tallinn, EE",Estonia
"Ylivieska, North Ostrobothnia, Finland, Finland","Ylivieska, North Ostrobothnia, Finland",Finland
"Kimberly, ID, US","Kimberly, ID",United States of America
"Bountiful, UT, US","Bountiful, UT",United States of America
"Saint-Lubin-de-la-Haye, Centre-Val de Loire, France, France","Saint-Lubin-de-la-Haye, Centre-Val de Loire, France",France
"Heist-op-den-Berg, Flemish Region, Belgium, Belgium","Heist-op-den-Berg, Flemish Region, Belgium",Belgium
"Westerleigh, England, United Kingdom, United Kingdom","Westerleigh, England, United Kingdom",United Kingdom
"Basalt, CO, US","Basalt, CO",United States of America
"Sobrado, Galicia, Spain, Spain","Sobrado, Galicia, Spain",Spain
"Gaash, Center District, Israel, Israel","Gaash, Center District, Israel",Israel
"Grebenhain, Hesse, Germany, Germany","Grebenhain, Hesse, Germany",Germany
"Écublens, Vaud, Switzerland, Switzerland","ÃƒÂ‰cublens, Vaud, Switzerland",Switzerland
"Mount Holly, NJ, US","Mount Holly, NJ",United States of America
"Millsap, TX, US","Millsap, TX",United States of America
"Kiryat Ono, Tel Aviv District, Israel, Israel","Kiryat Ono, Tel Aviv District, Israel",Israel
"Solothurn, Solothurn, Switzerland, Switzerland","Solothurn, Solothurn, Switzerland",Switzerland
"Pine Hill, NY, US","Pine Hill, NY",United States of America
"Cergy-Pontoise, Île-de-France, France, France","Cergy-Pontoise, ÃƒÂŽle-de-France, France",France
"Wheeler Heights, New South Wales, Australia, Australia","Wheeler Heights, New South Wales, Australia",Australia
"Chew Stoke, England, United Kingdom, United Kingdom","Chew Stoke, England, United Kingdom",United Kingdom
"Grenoble, Auvergne-Rhône-Alpes, France, France","Grenoble, Auvergne-RhÃƒÂ´ne-Alpes, France",France
"St John’s, NL, NL","St JohnÃ¢Â€Â™s, NL",Netherlands
"Abington Pigotts, England, United Kingdom, United Kingdom","Abington Pigotts, England, United Kingdom",United Kingdom
"Timișoara, Timiș, Romania, Romania","TimiÃ…ÂŸoara, TimiÃ…ÂŸ, Romania",Romania
"Brașov, Brașov, Romania, Romania","BraÃ…ÂŸov, BraÃ…ÂŸov, Romania",Romania
"Constanța, Constanța, Romania, Romania","ConstanÃ…Â£a, ConstanÃ…Â£a, Romania",Romania
"Laurys Station, PA, US","Laurys Station, PA",United States of America
"Courbevoie, Île-de-France, France, France","Courbevoie, ÃƒÂŽle-de-France, France",France
"Beachwood, NJ, US","Beachwood, NJ",United States of America
"Warsaw, NY, US","Warsaw, NY",United States of America
"Hutchinson, MN, US","Hutchinson, MN",United States of America
"Fruitland, ID, US","Fruitland, ID",United States of America
"Pontiac, IL, US","Pontiac, IL",United States of America
"Albemarle, NC, US","Albemarle, NC",United States of America
"Uden, North Brabant, Netherlands, Netherlands","Uden, North Brabant, Netherlands",Netherlands
"Felsted, England, United Kingdom, United Kingdom","Felsted, England, United Kingdom",United Kingdom
"Runcton Holme, England, United Kingdom, United Kingdom","Runcton Holme, England, United Kingdom",United Kingdom
"Bayburt, Bayburt, Türkiye, Türkiye","Bayburt, Bayburt, TÃƒÂ¼rkiye",Türkiye
"Franklin, OH, US","Franklin, OH",United States of America
"Reids Flat, New South Wales, Australia, Australia","Reids Flat, New South Wales, Australia",Australia
"Luthagen, Uppsala County, Sweden, Sweden","Luthagen, Uppsala County, Sweden",Sweden
"Kabul District, Kabul Province, Afghanistan, Afghanistan","Kabul District, Kabul Province, Afghanistan",Afghanistan
"Momence, IL, US","Momence, IL",United States of America
"Barrackville, WV, US","Barrackville, WV",United States of America
"Salem, IL, US","Salem, IL",United States of America
"Turnhout, Flemish Region, Belgium, Belgium","Turnhout, Flemish Region, Belgium",Belgium
"Aarau, Aargau, Switzerland, Switzerland","Aarau, Aargau, Switzerland",Switzerland
"Joppa, MD, US","Joppa, MD",United States of America
"Winona, MS, US","Winona, MS",United States of America
"Bonaduz, Graubünden, Switzerland, Switzerland","Bonaduz, GraubÃƒÂ¼nden, Switzerland",Switzerland
"Nalgonda, Telangana, India, India","Nalgonda, Telangana, India",India
"Pendleton, IN, US","Pendleton, IN",United States of America
"Grassmoor, England, United Kingdom, United Kingdom","Grassmoor, England, United Kingdom",United Kingdom
"Dursley, England, United Kingdom, United Kingdom","Dursley, England, United Kingdom",United Kingdom
"Indiaporã, São Paulo, Brazil, Brazil","IndiaporÃƒÂ£, SÃƒÂ£o Paulo, Brazil",Brazil
"Broadbent, OR, US","Broadbent, OR",United States of America
"Dereköy, Samsun, Türkiye, Türkiye","DerekÃƒÂ¶y, Samsun, TÃƒÂ¼rkiye",Türkiye
"Gadgarra, Queensland, Australia, Australia","Gadgarra, Queensland, Australia",Australia
"Basmath, Maharashtra, India, India","Basmath, Maharashtra, India",India
"Charnock Richard, England, United Kingdom, United Kingdom","Charnock Richard, England, United Kingdom",United Kingdom
"New Haven, VT, US","New Haven, VT",United States of America
"Merseylea, Tasmania, Australia, Australia","Merseylea, Tasmania, Australia",Australia
"Cheddleton, England, United Kingdom, United Kingdom","Cheddleton, England, United Kingdom",United Kingdom
"Quin, County Clare, Ireland, Ireland","Quin, County Clare, Ireland",Ireland
"Baia-Sprie, Maramureș, Romania, Romania","Baia-Sprie, MaramureÃ…ÂŸ, Romania",Romania
"Polda, South Australia, Australia, Australia","Polda, South Australia, Australia",Australia
"Aroneanu, Iași, Romania, Romania","Aroneanu, IaÃ…ÂŸi, Romania",Romania
"Burscheid, North Rhine-Westphalia, Germany, Germany","Burscheid, North Rhine-Westphalia, Germany",Germany
"Biberach an der Riß, Baden-Württemberg, Germany, Germany","Biberach an der RiÃƒÂŸ, Baden-WÃƒÂ¼rttemberg, Germany",Germany
"Fagersta, Västmanland County, Sweden, Sweden","Fagersta, VÃƒÂ¤stmanland County, Sweden",Sweden
"Potchefstroom, North-West, South Africa, South Africa","Potchefstroom, North-West, South Africa",South Africa
"Lakebay, WA, US","Lakebay, WA",United States of America
"Mitchell, Australian Capital Territory, Australia, Australia","Mitchell, Australian Capital Territory, Australia",Australia
"Siemianowice Śląskie, Śląskie, Poland, Poland","Siemianowice Ã…ÂšlÃ„Â…skie, Ã…ÂšlÃ„Â…skie, Poland",Poland
"Oyster Cove, New South Wales, Australia, Australia","Oyster Cove, New South Wales, Australia",Australia
"Balik Pulau, Penang, Malaysia, Malaysia","Balik Pulau, Penang, Malaysia",Malaysia
"Nagel, Bavaria, Germany, Germany","Nagel, Bavaria, Germany",Germany
"Underwood, Queensland, Australia, Australia","Underwood, Queensland, Australia",Australia
"Castle Douglas, Scotland, United Kingdom, United Kingdom","Castle Douglas, Scotland, United Kingdom",United Kingdom
"Forcett, Tasmania, Australia, Australia","Forcett, Tasmania, Australia",Australia
"Heinola, Päijät-Häme, Finland, Finland","Heinola, PÃƒÂ¤ijÃƒÂ¤t-HÃƒÂ¤me, Finland",Finland
"Purmela, TX, US","Purmela, TX",United States of America
"Villepinte, Île-de-France, France, France","Villepinte, ÃƒÂŽle-de-France, France",France
"Brașov, Romania, Romania","BraÃ…ÂŸov, Romania",Romania
"Broadstone, England, United Kingdom, United Kingdom","Broadstone, England, United Kingdom",United Kingdom
"Idalia, Queensland, Australia, Australia","Idalia, Queensland, Australia",Australia
"Iași, Romania, Romania","IaÃ…ÂŸi, Romania",Romania
"Moravský Beroun, Olomouc, Czechia, Czechia","MoravskÃƒÂ½ Beroun, Olomouc, Czechia",Czech Republic
"Alma, QC, CA","Alma, QC",United States of America
"Ponte dell’Olio, Emilia-Romagna, Italy, Italy","Ponte dellÃ¢Â€Â™Olio, Emilia-Romagna, Italy",Italy
"Amritsar I, Punjab, India, India","Amritsar I, Punjab, India",India
"Constanța, Romania, Romania","ConstanÃ…Â£a, Romania",Romania
"Settimo Milanese, Lombardy, Italy, Italy","Settimo Milanese, Lombardy, Italy",Italy
"Westbrook, Queensland, Australia, Australia","Westbrook, Queensland, Australia",Australia
"Cinisello Balsamo, Lombardy, Italy, Italy","Cinisello Balsamo, Lombardy, Italy",Italy
"Sumilao, Northern Mindanao, Philippines, Philippines","Sumilao, Northern Mindanao, Philippines",Philippines
"Bantwal, Karnataka, India, India","Bantwal, Karnataka, India",India
"Bergen, Mecklenburg-West Pomerania, Germany, Germany","Bergen, Mecklenburg-West Pomerania, Germany",Germany
"Los Osos, CA, US","Los Osos, CA",United States of America
"O Consistorio, Galicia, Spain, Spain","O Consistorio, Galicia, Spain",Spain
"Mureș, Romania, Romania","MureÃ…ÂŸ, Romania",Romania
